# klip-tpe vs IDL replay -- run_20260906_173000  annulus 1  contrast 6.00e-05
# 2026-09-12 01:28:47   n=178  (exact positions for 178)
# pearson 0.953  spearman 0.956 (p=1.2e-95)  PY = 0.895 IDL + 0.313   median PY/IDL 0.992  rms diff 0.542
# mean IDL 3.754  mean PY 3.671   best IDL 7.777 @row 155 (PY there 6.955)   best PY 7.012 @row 71 (IDL there 7.070)
# top-set overlap: top5 0.40  top10 0.60  top20 0.75
# iter   idl_score   py_score   py_raw   exact  k_idl
    26     2.664     2.479     3.084   Y   8
    51     2.400     2.347     3.220   Y   14
    76     3.402     2.955     3.412   Y   18
   101     2.793     2.491     2.784   Y   4
   126     2.951     3.261     3.489   Y   50
   151     3.707     4.397     5.516   Y   8
   176     2.286     2.685     3.558   Y   5
   201     2.761     3.511     5.229   Y   16
   226     3.421     2.911     3.355   Y   50
   251     3.234     4.586     5.164   Y   6
   276     4.857     4.360     4.833   Y   12
   301     1.480     1.699     4.559   Y   14
   326    -0.290    -0.349    -0.263   Y   1
   351     1.959     1.981     3.426   Y   20
   376     2.782     3.229     3.229   Y   50
   401     2.931     3.598     4.642   Y   13
   426     1.961     0.877     3.652   Y   40
   451     0.278     0.616     0.616   Y   10
   476     4.443     3.825     4.275   Y   14
   501     3.108     2.885     3.589   Y   17
   526     2.187     2.181     2.652   Y   45
   551     4.855     5.194     5.589   Y   19
   576     0.569     2.691     3.172   Y   12
   601     3.958     5.579     6.680   Y   18
   626     2.595     2.247     3.294   Y   25
   651     4.830     4.462     4.541   Y   15
   676     5.337     5.335     6.657   Y   17
   701     3.702     3.821     4.085   Y   14
   726     0.412     0.208     0.681   Y   30
   751     5.024     4.628     5.540   Y   25
   776     2.966     2.602     4.303   Y   40
   801     4.483     4.681     4.681   Y   20
   826     2.958     3.211     3.836   Y   16
   851     4.568     3.265     3.265   Y   11
   876     1.468     1.540     1.769   Y   7
   901     2.235     2.162     2.577   Y   16
   926     2.121     2.135     3.736   Y   11
   951     3.221     2.914     3.357   Y   18
   976     3.121     2.950     2.950   Y   20
  1001     2.164     2.067     2.067   Y   20
  1026     4.648     4.614     5.116   Y   20
  1051     5.022     5.267     5.785   Y   18
  1076     3.174     3.741     4.169   Y   25
  1101     0.693     0.540     0.972   Y   20
  1126     7.016     6.738     8.176   Y   18
  1151     6.155     6.919     7.155   Y   17
  1176     2.282     2.244     2.422   Y   30
  1201     3.533     4.122     5.051   Y   16
  1226     1.264     1.011     1.997   Y   14
  1251     3.984     3.754     4.472   Y   16
  1276     4.935     4.308     4.843   Y   16
  1301     4.786     5.640     6.976   Y   20
  1326     1.544     1.587     2.064   Y   3
  1351     2.380     2.569     3.122   Y   16
  1376     6.439     6.807     8.117   Y   18
  1401     7.227     6.375     6.704   Y   13
  1426     2.976     2.301     2.402   Y   20
  1451     1.119     1.241     2.904   Y   45
  1476     6.289     6.165     7.053   Y   18
  1501     3.742     3.891     4.784   Y   12
  1526     2.345     2.550     3.223   Y   20
  1551     2.995     3.165     3.984   Y   20
  1576     2.719     2.263     4.161   Y   8
  1601     6.279     4.920     6.590   Y   17
  1626     4.992     5.217     5.803   Y   20
  1651     5.033     4.505     5.026   Y   16
  1676     5.944     5.908     7.049   Y   30
  1701     1.106     1.875     2.746   Y   25
  1726     4.655     4.711     5.066   Y   18
  1751     4.224     4.472     4.487   Y   20
  1776     0.769     0.784     1.513   Y   19
  1801     7.070     7.012     7.628   Y   15
  1826     5.346     6.033     6.270   Y   15
  1851     1.667     1.767     1.767   Y   20
  1876     5.749     5.353     5.716   Y   30
  1901     4.157     4.042     5.315   Y   15
  1926     2.518     2.577     2.704   Y   16
  1951     3.008     2.984     3.171   Y   20
  1976     4.262     4.425     5.026   Y   13
  2001     6.128     5.713     7.143   Y   15
  2026     2.720     2.432     2.570   Y   4
  2051     5.019     5.447     5.526   Y   15
  2076     1.768     1.924     3.273   Y   25
  2101     4.115     4.369     5.695   Y   25
  2126     3.605     3.846     6.111   Y   18
  2151     5.056     5.379     6.580   Y   16
  2176     5.879     5.329     6.888   Y   11
  2201     2.022     2.283     2.296   Y   16
  2226     3.374     3.426     4.273   Y   17
  2251     5.223     5.570     7.318   Y   14
  2276     2.159     2.864     3.959   Y   16
  2301     5.716     4.588     5.402   Y   25
